,Model,Accuracy,Precision,Recall,F1,ROC_AUC,MCC,Specificity,CV,Repeat,target,target_id,feature,turner
129,LogisticRegression,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.16666666666666666,0.5,Fold10,3,Project,ProjectA,False,True
130,LogisticRegression,0.6,0.5,1.0,0.6666666666666666,0.6666666666666667,0.4082482904638631,0.3333333333333333,Fold1,4,Project,ProjectA,False,True
131,LogisticRegression,0.8,0.6666666666666666,1.0,0.8,1.0,0.6666666666666666,0.6666666666666666,Fold2,4,Project,ProjectA,False,True
132,LogisticRegression,0.8,0.6666666666666666,1.0,0.8,0.8333333333333334,0.6666666666666666,0.6666666666666666,Fold3,4,Project,ProjectA,False,True
133,LogisticRegression,0.4,0.0,0.0,0.0,0.5,-0.4082482904638631,0.6666666666666666,Fold4,4,Project,ProjectA,False,True
134,LogisticRegression,0.6,0.5,1.0,0.6666666666666666,1.0,0.4082482904638631,0.3333333333333333,Fold5,4,Project,ProjectA,False,True
135,LogisticRegression,0.6,1.0,0.3333333333333333,0.5,0.8333333333333333,0.4082482904638631,1.0,Fold6,4,Project,ProjectA,False,True
136,LogisticRegression,0.6,1.0,0.3333333333333333,0.5,0.6666666666666666,0.4082482904638631,1.0,Fold7,4,Project,ProjectA,False,True
137,LogisticRegression,0.8,1.0,0.6666666666666666,0.8,1.0,0.6666666666666666,1.0,Fold8,4,Project,ProjectA,False,True
138,LogisticRegression,0.8,1.0,0.6666666666666666,0.8,0.8333333333333333,0.6666666666666666,1.0,Fold9,4,Project,ProjectA,False,True
139,LogisticRegression,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.6666666666666666,0.0,Fold10,4,Project,ProjectA,False,True
140,LogisticRegression,0.8,0.6666666666666666,1.0,0.8,0.8333333333333334,0.6666666666666666,0.6666666666666666,Fold1,5,Project,ProjectA,False,True
141,LogisticRegression,0.8,0.6666666666666666,1.0,0.8,0.8333333333333334,0.6666666666666666,0.6666666666666666,Fold2,5,Project,ProjectA,False,True
142,LogisticRegression,0.8,0.6666666666666666,1.0,0.8,0.6666666666666667,0.6666666666666666,0.6666666666666666,Fold3,5,Project,ProjectA,False,True
143,LogisticRegression,0.6,0.5,1.0,0.6666666666666666,0.5,0.4082482904638631,0.3333333333333333,Fold4,5,Project,ProjectA,False,True
144,LogisticRegression,0.8,0.6666666666666666,1.0,0.8,0.6666666666666667,0.6666666666666666,0.6666666666666666,Fold5,5,Project,ProjectA,False,True
145,LogisticRegression,0.8,1.0,0.6666666666666666,0.8,1.0,0.6666666666666666,1.0,Fold6,5,Project,ProjectA,False,True
146,LogisticRegression,0.4,0.5,0.3333333333333333,0.4,0.3333333333333333,-0.16666666666666666,0.5,Fold7,5,Project,ProjectA,False,True
147,LogisticRegression,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.5,Fold8,5,Project,ProjectA,False,True
148,LogisticRegression,0.6,1.0,0.3333333333333333,0.5,0.6666666666666666,0.4082482904638631,1.0,Fold9,5,Project,ProjectA,False,True
149,LogisticRegression,0.8,1.0,0.6666666666666666,0.8,1.0,0.6666666666666666,1.0,Fold10,5,Project,ProjectA,False,True
150,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Fold1,6,Project,ProjectA,False,True
151,LogisticRegression,0.4,0.3333333333333333,0.5,0.4,0.33333333333333337,-0.16666666666666666,0.3333333333333333,Fold2,6,Project,ProjectA,False,True
152,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Fold3,6,Project,ProjectA,False,True
153,LogisticRegression,0.8,0.6666666666666666,1.0,0.8,0.8333333333333334,0.6666666666666666,0.6666666666666666,Fold4,6,Project,ProjectA,False,True
